timestamp,edge_id,speed_kmh,duration_s,distance_m
2025-11-27 12:11:01.349943,81805393_11950483412,4.5,12,15
2025-11-27 12:11:01.753056,81806535_1497544749,13.68,10,38
2025-11-27 12:11:02.064119,81806535_5707161153,8.32,125,289
2025-11-27 12:11:02.304856,98026475_6677338241,16.25,136,614
2025-11-27 12:11:02.654721,98027697_7985603138,18.51,7,36
2025-11-27 12:11:02.887478,98027697_10130533953,14.42,180,721
2025-11-27 12:11:03.141290,98031401_6661055810,0.0,15,0
2025-11-27 12:11:03.687415,98035472_12816414547,12.02,269,898
2025-11-27 12:11:04.208889,98041254_420522002,24.48,5,34
2025-11-27 12:11:04.401278,98041257_98041849,8.7,12,29
2025-11-27 12:11:04.593138,98041257_5710673974,15.84,5,22
2025-11-27 12:11:04.767303,98041257_5710673979,32.4,3,27
2025-11-27 12:11:04.979067,98041849_98041257,9.49,11,29
2025-11-27 12:11:05.311469,98041849_733429120,6.32,37,65
2025-11-27 12:11:05.670441,98041851_2084132002,27.36,5,38
2025-11-27 12:11:05.927825,98042270_309816682,16.85,132,618
2025-11-27 12:11:06.303634,106078638_6587651051,36.0,5,50
2025-11-27 12:11:06.492157,106078638_442990465,22.5,8,50
2025-11-27 12:11:06.802240,106108917_2176926218,22.12,96,590
2025-11-27 12:11:06.986730,106111364_6644672135,21.77,21,127
2025-11-27 12:11:07.180089,106111364_446030797,14.78,227,932
2025-11-27 12:11:07.415654,283139229_444875375,7.2,10,20
2025-11-27 12:11:07.657846,283139229_5718871870,16.4,171,779
2025-11-27 12:11:07.868830,283139229_6650982900,27.0,6,45
2025-11-27 12:11:08.253676,283139237_2188036136,22.13,34,209
2025-11-27 12:11:08.512402,308728680_1314203102,7.65,8,17
2025-11-27 12:11:08.759552,308728680_310729950,10.38,301,868
2025-11-27 12:11:08.997748,308728680_2289997644,17.86,26,129
2025-11-27 12:11:09.189627,309595522_6666479030,10.44,10,29
2025-11-27 12:11:09.380288,309685730_6677300866,13.05,8,29
2025-11-27 12:11:09.587301,309685730_2195296719,15.62,157,681
2025-11-27 12:11:09.785990,309685730_309816682,18.24,60,304
2025-11-27 12:11:10.112793,309816682_5718916274,10.36,107,308
2025-11-27 12:11:10.315323,309816683_98035472,9.19,65,166
2025-11-27 12:11:10.525183,309816683_10296445822,10.85,299,901
2025-11-27 12:11:10.723117,309816683_10296445824,12.6,10,35
2025-11-27 12:11:10.984199,310729950_6677364041,10.17,23,65
2025-11-27 12:11:11.127694,310729950_6677300866,4.68,30,39
2025-11-27 12:11:11.377545,317366886_444501629,5.04,15,21
2025-11-27 12:11:11.708352,317778303_427847910,7.2,10,20
2025-11-27 12:11:11.908305,317778303_5716477056,29.88,40,332
2025-11-27 12:11:12.163301,319490613_1104490487,23.64,141,926
2025-11-27 12:11:12.357789,420456583_6621078251,27.0,12,90
2025-11-27 12:11:12.634796,420456583_13023100793,13.46,23,86
2025-11-27 12:11:12.887467,420456595_10965136434,2.52,20,14
2025-11-27 12:11:13.087594,420456595_4541071715,12.81,84,299
2025-11-27 12:11:13.355619,420456615_733429120,13.5,8,30
2025-11-27 12:11:13.509373,420456615_98041257,9.28,26,67
2025-11-27 12:11:13.749329,420456683_5710231827,9.25,220,565
2025-11-27 12:11:13.922728,420456683_5206119178,15.97,16,71
2025-11-27 12:11:14.127452,420456683_1878932244,29.86,17,141
2025-11-27 12:11:14.328958,420457653_11107112923,28.42,38,300
2025-11-27 12:11:14.527170,420460217_1878921396,20.26,287,1615
2025-11-27 12:11:14.795008,420460217_4004297090,2.25,120,75
2025-11-27 12:11:14.998484,420522002_6587550954,29.6,9,74
2025-11-27 12:11:15.280184,421080868_4961341856,9.6,12,32
2025-11-27 12:11:15.466703,421080868_12357580645,14.06,105,410
2025-11-27 12:11:15.737358,427847910_2291072476,13.5,4,15
2025-11-27 12:11:15.944041,427847910_1495030951,18.51,7,36
2025-11-27 12:11:16.204645,428673752_421080868,13.3,85,314
2025-11-27 12:11:16.388987,428673752_2291064324,16.36,11,50
2025-11-27 12:11:16.658377,436383687_5710222987,30.13,19,159
2025-11-27 12:11:16.906720,436388447_2295384939,6.0,9,15
2025-11-27 12:11:17.036218,436388447_309685730,7.28,46,93
2025-11-27 12:11:17.229708,442990465_106078638,17.08,90,427
2025-11-27 12:11:17.422797,442990465_6687964478,12.35,200,686
2025-11-27 12:11:17.547334,442990465_6587651051,15.94,7,31
2025-11-27 12:11:17.737812,442993523_13023100794,18.83,69,361
2025-11-27 12:11:18.014150,444394912_2701184883,15.57,317,1371
2025-11-27 12:11:18.205435,444394912_4538405026,27.26,14,106
2025-11-27 12:11:18.376610,444394912_5716537702,5.27,41,60
2025-11-27 12:11:18.573335,444398125_444393381,15.87,22,97
2025-11-27 12:11:18.758790,444398125_2186671584,4.63,7,9
